Word,Conc.M,Dom_Pos
overhand,3.62,Adjective
sheltered,3.62,Adjective
spinal,3.62,Adjective
stiff,3.62,Adjective
unwrinkled,3.62,Adjective
baggy,3.61,Adjective
chewable,3.61,Adjective
costumed,3.61,Adjective
flammable,3.61,Adjective
short,3.61,Adjective
symmetrical,3.61,Adjective
webby,3.61,Adjective
armed,3.6,Adjective
bruising,3.6,Adjective
candlelit,3.6,Adjective
esophageal,3.6,Adjective
waterproof,3.6,Adjective
wheezy,3.6,Adjective
armored,3.59,Adjective
blackened,3.59,Adjective
cervical,3.59,Adjective
drinkable,3.59,Adjective
full,3.59,Adjective
habitant,3.59,Adjective
husky,3.59,Adjective
lumpy,3.59,Adjective
messy,3.59,Adjective
oblong,3.59,Adjective
reformatory,3.59,Adjective
ribbed,3.59,Adjective
sloping,3.59,Adjective
soluble,3.59,Adjective
speckled,3.59,Adjective
sticky,3.59,Adjective
suntanned,3.59,Adjective
triple,3.59,Adjective
upright,3.59,Adjective
commissary,3.58,Adjective
crateful,3.58,Adjective
fallopian,3.58,Adjective
humpy,3.58,Adjective
hypodermic,3.58,Adjective
legged,3.58,Adjective
pliable,3.58,Adjective
soaked,3.58,Adjective
windproof,3.58,Adjective
bristled,3.57,Adjective
gilded,3.57,Adjective
herbal,3.57,Adjective
hyphenated,3.57,Adjective
lacerated,3.57,Adjective
leaky,3.57,Adjective
monthly,3.57,Adjective
mushy,3.57,Adjective
overweight,3.57,Adjective
skinny,3.57,Adjective
stony,3.57,Adjective
upward,3.57,Adjective
wetted,3.57,Adjective
additive,3.56,Adjective
brittle,3.56,Adjective
busty,3.56,Adjective
chilly,3.56,Adjective
electric,3.56,Adjective
epidermal,3.56,Adjective
fleshy,3.56,Adjective
hatless,3.56,Adjective
inky,3.56,Adjective
lunar,3.56,Adjective
noisy,3.56,Adjective
nonorganic,3.56,Adjective
prostrate,3.56,Adjective
slender,3.56,Adjective
warm,3.56,Adjective
waterlogged,3.56,Adjective
antifungal,3.55,Adjective
clear,3.55,Adjective
edible,3.55,Adjective
marshy,3.55,Adjective
petite,3.55,Adjective
plumed,3.55,Adjective
powdery,3.55,Adjective
pulpy,3.55,Adjective
searing,3.55,Adjective
acidic,3.54,Adjective
backlit,3.54,Adjective
bacterial,3.54,Adjective
balsamic,3.54,Adjective
botanical,3.54,Adjective
branchy,3.54,Adjective
cylindrical,3.54,Adjective
horsey,3.54,Adjective
huge,3.54,Adjective
knobby,3.54,Adjective
oaken,3.54,Adjective
overhanging,3.54,Adjective
revolving,3.54,Adjective
saggy,3.54,Adjective
scalded,3.54,Adjective
semiautomatic,3.54,Adjective
shorter,3.54,Adjective
sparkly,3.54,Adjective
unarmed,3.54,Adjective
warty,3.54,Adjective
bigger,3.53,Adjective
concave,3.53,Adjective
cool,3.53,Adjective
filthy,3.53,Adjective
mating,3.53,Adjective
unsigned,3.53,Adjective
alien,3.52,Adjective
barebacked,3.52,Adjective
bubbly,3.52,Adjective
cloudless,3.52,Adjective
flyaway,3.52,Adjective
gangrenous,3.52,Adjective
manned,3.52,Adjective
milky,3.52,Adjective
nearsighted,3.52,Adjective
nondairy,3.52,Adjective
patterned,3.52,Adjective
prophylactic,3.52,Adjective
ridged,3.52,Adjective
southeastern,3.52,Adjective
teary,3.52,Adjective
teenage,3.52,Adjective
tutoring,3.52,Adjective
veterinary,3.52,Adjective
wrinkly,3.52,Adjective
airsick,3.5,Adjective
anterior,3.5,Adjective
asymmetric,3.5,Adjective
bombproof,3.5,Adjective
communist,3.5,Adjective
cranial,3.5,Adjective
elliptical,3.5,Adjective
furrowed,3.5,Adjective
